name,description,priority,frequency,frequency_label,ticket,event_class,assignment_group,org_code,threshold,suppression,duration,email,subject_prefix,email_body,query
Critical - Production,Production down - immediate response,P1,*/5 * * * *,Every 5 min,yes,PRODUCTION,Prod-Support-Team,PROD-001,0,5,-15m,oncall@company.com,[CRITICAL],Production alert triggered. Immediate action required.,index=prod ERROR OR CRITICAL | stats count by host
Warning - Application,Application errors - needs attention,P2,*/15 * * * *,Every 15 min,yes,APPLICATION,App-Support-Team,APP-001,5,15,-30m,app-team@company.com,[WARNING],Application warning detected. Please investigate.,index=app log_level=ERROR | stats count by component
Info - Monitoring,Informational monitoring alerts,P3,0 * * * *,Hourly,no,,,,0,0,-1h,monitoring@company.com,[INFO],Informational alert for your review.,index=_internal | stats count by component | head 10
Daily Report,Daily summary report at midnight,P4,0 0 * * *,Daily (midnight),no,,,,0,0,-24h,reports@company.com,[DAILY],Daily summary report attached.,index=* | stats count by index | sort -count
Weekly Report,Weekly summary on Sunday,P4,0 0 * * 0,Weekly (Sunday),no,,,,0,0,-7d,reports@company.com,[WEEKLY],Weekly summary report attached.,index=* | stats count by sourcetype | sort -count
Security Alert,Security events - urgent response,P1,*/5 * * * *,Every 5 min,yes,SECURITY,Security-Team,SEC-001,0,10,-15m,security@company.com,[SECURITY],Security event detected. Immediate investigation required.,index=security action=blocked OR action=denied | stats count by src_ip
High Volume,High traffic threshold alerts,P2,*/30 * * * *,Every 30 min,yes,CAPACITY,Infra-Team,INFRA-001,100,30,-30m,infra@company.com,[HIGH-VOL],High volume threshold exceeded.,index=web | stats count | where count > 10000
Capacity Alert,Resource capacity monitoring,P3,0 */4 * * *,Every 4 hours,no,,,,80,60,-4h,capacity@company.com,[CAPACITY],Resource capacity alert.,index=metrics cpu_pct>80 OR mem_pct>80 | stats avg(cpu_pct) avg(mem_pct) by host
Database Alert,Database monitoring,P2,*/15 * * * *,Every 15 min,yes,DATABASE,DBA-Team,DBA-001,0,15,-15m,dba@company.com,[DATABASE],Database alert detected.,index=database status=error OR status=warning | stats count by database_name
Network Alert,Network connectivity issues,P1,*/5 * * * *,Every 5 min,yes,NETWORK,Network-Team,NET-001,0,5,-15m,network@company.com,[NETWORK],Network issue detected.,index=network status=down OR latency>1000 | stats count by device
